,Club,Turnover,Wages,Profit before tax,Match income,TV and broadcasting,Retail,Commercial,Property development,Player trading,Net debt,Interest payable,Highest paid director,Events,Other
0,Arsenal,355,322,120,97,142,26.0,139.0,43.0,-8.0,-139.0,,2.864,,
1,Bournemouth,127,162,-63,5,109,1.0,13.0,,,101.0,2.4,1.4480000000000002,1.0,-4.5
2,Burnley,175,124,81,6,156,-7.0,,,,-169.0,-0.03899999999999999,,,
3,Chelsea,608,296,118,90,288,,230.0,,,1410.0,,0.274,,
4,Everton,225,225,-23,20,128,,77.0,,,,10.0,1.6050000000000002,,
5,Leicester City,11,131,-178,7,130,14.0,2.0,,,6.0,5.0,0.27399999999999997,,
6,Liverpool,637,376,295,95,352,,190.0,,,61.0,10.0,2.072,,
7,Manchester City,554,252,30,67,228,,260.0,,,102.0,2.0,7.600000000000001,,
8,Manchester United,608,362,-36,106,224,,276.0,,,336.0,22.0,7.256,,
9,Southampton,95,115,21,13,65,,13.0,,,-16.0,-6.092,4.788,,4.0
10,Stoke City,109,112,-100,10,85,,11.0,,,217.0,,0.521,3.0,0.0
11,Swansea City,128,75,-35,7,97,,26.0,,,27.0,4.0,0.6982710000000001,,
12,Tottenham Hotspur,531,190,301,123,144,,181.0,,,1128.0,,-3.0,,83.0
13,Watford,136,108,-102,8,107,,23.0,,,174.0,9.0,,,-1.0
14,West Bromwich Albion,99,118,-101,7,68,3.0,19.0,,,24.0,,0.1329999999999999,,
15,West Ham United,159,131,-32,17,119,4.0,20.0,,,13.0,2.0,0.9580000000000001,,
